months_as_customer,age,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
202,34,100/300,500,848.07,3000000,MALE,Graduate,not-in-family,Vehicle Theft,No Collision,Minor Damage,None,5,1,1,5720,1040,520,4160,Y
224,40,100/300,2000,1291.7,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,21,1,0,69840,7760,15520,46560,N
241,45,500/1000,2000,1104.5,0,FEMALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,2,91650,14100,14100,63450,N
64,25,250/500,1000,954.16,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,0,75600,12600,12600,50400,N
166,37,100/300,2000,1337.28,8000000,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,2,67140,7460,7460,52220,Y
155,35,500/1000,1000,1088.34,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,3,29790,3310,3310,23170,N
114,30,100/300,1000,1558.29,0,MALE,High School,partner,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,2,77110,14020,14020,49070,N
149,37,500/1000,500,1415.68,0,MALE,Doctorate,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,1,64800,10800,5400,48600,N
147,33,100/300,1000,1334.15,6000000,MALE,High School,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Police,15,1,0,53100,10620,5310,37170,Y
62,28,100/300,1000,988.45,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,1,60200,6020,6020,48160,Y
289,49,500/1000,2000,1222.48,0,FEMALE,Graduate,partner,Parked Car,No Collision,Minor Damage,None,16,1,1,5330,1230,820,3280,N
431,54,500/1000,2000,1155.55,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,0,62300,12460,6230,43610,N
199,37,250/500,500,1262.08,0,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,3,60170,10940,10940,38290,Y
79,26,100/300,500,1451.62,0,MALE,Undergraduate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,2,40000,8000,4000,28000,N
116,34,250/500,500,1737.66,0,MALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,1,97080,16180,16180,64720,Y
37,23,500/1000,500,1475.93,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,0,51660,5740,5740,40180,N
106,30,250/500,500,538.17,0,FEMALE,Doctorate,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Police,23,1,2,51120,5680,5680,39760,N
269,44,100/300,2000,1081.08,0,MALE,Graduate,partner,Single Vehicle Collision,Front Collision,Minor Damage,Police,14,1,2,56400,11280,11280,33840,N
265,40,250/500,1000,1454.43,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,17,3,3,55120,6890,0,48230,N
163,33,100/300,500,1240.47,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,1,77110,0,14020,63090,N
355,47,500/1000,2000,1273.7,4000000,MALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,1,62800,6280,6280,50240,Y
175,34,500/1000,1000,1123.87,8000000,FEMALE,Doctorate,other-relative,Vehicle Theft,No Collision,Trivial Damage,Police,5,1,0,7290,810,810,5670,N
192,35,100/300,1000,1245.89,0,FEMALE,Graduate,partner,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,0,76600,15320,7660,53620,N
430,59,250/500,2000,1326.62,7000000,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,3,81800,16360,8180,57260,N
91,27,100/300,2000,1073.83,0,FEMALE,Graduate,partner,Vehicle Theft,No Collision,Trivial Damage,None,4,1,2,7260,1320,660,5280,N
217,39,100/300,1000,1530.52,0,MALE,Undergraduate,not-in-family,Vehicle Theft,No Collision,Minor Damage,None,8,1,1,4300,430,430,3440,N
223,40,100/300,500,1201.41,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,0,70510,12820,12820,44870,N
195,39,250/500,1000,1393.57,0,MALE,Doctorate,not-in-family,Parked Car,No Collision,Minor Damage,Police,5,1,1,2640,480,480,1680,N
22,26,100/300,1000,1276.57,0,MALE,Doctorate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,2,78900,15780,7890,55230,N
439,56,250/500,500,1082.49,0,FEMALE,Doctorate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,3,56430,0,6270,50160,N
94,32,500/1000,1000,1414.74,0,FEMALE,Graduate,own-child,Parked Car,No Collision,Minor Damage,None,19,1,3,2400,300,300,1800,N
11,39,250/500,2000,1470.06,0,MALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,1,65790,7310,7310,51170,N
151,36,250/500,2000,870.63,0,FEMALE,Graduate,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,1,62920,11440,5720,45760,N
154,34,100/300,500,795.23,0,MALE,Doctorate,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,1,69480,15440,0,54040,Y
245,44,500/1000,1000,1168.2,0,MALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,3,44280,7380,3690,33210,N
119,32,500/1000,1000,993.51,0,MALE,High School,partner,Single Vehicle Collision,Side Collision,Minor Damage,Police,12,1,3,56300,5630,11260,39410,N
215,42,500/1000,500,1848.81,0,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,2,68520,11420,5710,51390,Y
295,42,250/500,2000,1641.73,5000000,MALE,Doctorate,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,0,59130,6570,6570,45990,Y
254,39,100/300,500,1362.87,0,FEMALE,Graduate,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,2,82320,13720,6860,61740,Y
107,31,250/500,500,1239.22,7000000,FEMALE,High School,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,1,89700,13800,13800,62100,Y
478,64,250/500,500,835.02,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,1,33930,0,3770,30160,N
128,30,100/300,1000,1061.33,0,MALE,Graduate,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,3,68530,12460,6230,49840,N
338,49,500/1000,1000,1279.08,0,MALE,Graduate,own-child,Parked Car,No Collision,Minor Damage,None,13,1,1,4300,860,860,2580,N
271,42,100/300,500,1105.49,0,FEMALE,Undergraduate,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,12,2,3,68310,12420,6210,49680,Y
222,41,100/300,2000,1055.53,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Police,7,1,2,61290,6810,6810,47670,Y
199,41,250/500,1000,895.83,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,2,30100,3010,0,27090,N
215,37,100/300,500,1632.93,0,FEMALE,Undergraduate,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,0,57120,9520,4760,42840,N
192,40,100/300,1000,1405.99,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,0,42930,9540,4770,28620,N
120,35,100/300,1000,1425.54,0,FEMALE,High School,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,0,51210,11380,5690,34140,N
270,45,500/1000,1000,1038.09,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,1,89400,14900,7450,67050,N
319,47,250/500,500,1307.11,0,MALE,Undergraduate,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,2,59730,10860,10860,38010,N
194,39,500/1000,1000,1489.24,6000000,FEMALE,Graduate,partner,Vehicle Theft,No Collision,Minor Damage,None,15,1,2,8060,1240,1240,5580,N
227,38,500/1000,500,976.67,0,FEMALE,Doctorate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,2,72200,14440,7220,50540,Y
137,31,250/500,2000,1340.43,0,MALE,High School,partner,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,2,50800,10160,10160,30480,N
244,40,500/1000,2000,1267.81,5000000,FEMALE,Graduate,partner,Vehicle Theft,No Collision,Trivial Damage,None,10,1,1,6600,660,1320,4620,N
78,29,250/500,1000,1234.2,6000000,MALE,Graduate,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,3,1,2,7500,750,1500,5250,N
200,35,250/500,2000,1318.06,0,MALE,High School,partner,Vehicle Theft,No Collision,Trivial Damage,None,13,1,3,6490,1180,1180,4130,N
284,48,500/1000,2000,769.95,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,3,60940,5540,11080,44320,Y
275,41,100/300,2000,1514.72,0,MALE,High School,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,1,58300,5830,11660,40810,N
153,34,500/1000,1000,873.64,4000000,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9,3,1,68400,11400,11400,45600,N
134,32,500/1000,500,1612.43,0,FEMALE,Graduate,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,1,64240,11680,11680,40880,N
31,36,500/1000,2000,1318.24,9000000,FEMALE,Undergraduate,not-in-family,Parked Car,No Collision,Trivial Damage,None,9,1,1,4700,940,470,3290,N
41,25,100/300,1000,1226.83,0,FEMALE,Undergraduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,12,3,0,45120,0,5640,39480,Y
127,29,250/500,2000,1326.44,5000000,FEMALE,High School,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,1,66950,10300,10300,46350,N
61,23,250/500,2000,1136.83,4000000,FEMALE,Undergraduate,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,3,98340,8940,17880,71520,Y
207,42,250/500,2000,1322.78,0,MALE,Doctorate,own-child,Parked Car,No Collision,Trivial Damage,None,9,1,1,5900,590,590,4720,N
219,43,100/300,1000,1483.25,0,FEMALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,1,70680,5890,11780,53010,N
271,42,100/300,500,1515.3,0,FEMALE,High School,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,0,93720,17040,8520,68160,N
80,25,100/300,2000,1075.18,5000000,FEMALE,Doctorate,partner,Vehicle Theft,No Collision,Minor Damage,None,5,1,0,6930,1260,630,5040,N
325,47,500/1000,1000,1690.27,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,3,72930,6630,6630,59670,Y
29,25,250/500,2000,1352.83,0,MALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,4,4,2,64890,7210,7210,50470,Y
295,48,250/500,1000,1148.73,0,FEMALE,Undergraduate,partner,Parked Car,No Collision,Trivial Damage,None,6,1,2,5400,900,900,3600,N
239,42,100/300,1000,969.5,0,MALE,Undergraduate,not-in-family,Vehicle Theft,No Collision,Trivial Damage,None,10,1,0,5600,700,700,4200,N
269,41,100/300,500,1463.82,0,FEMALE,Undergraduate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,0,79300,15860,15860,47580,N
80,27,100/300,1000,1474.17,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,0,52800,10560,5280,36960,N
279,41,250/500,500,1497.35,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,3,28800,0,3600,25200,N
165,33,100/300,1000,1427.14,0,FEMALE,Undergraduate,other-relative,Parked Car,No Collision,Minor Damage,Police,3,1,1,2970,330,330,2310,N
350,54,500/1000,500,1495.1,0,MALE,Undergraduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,0,93480,15580,7790,70110,N
295,49,100/300,500,1141.62,0,MALE,Undergraduate,partner,Vehicle Theft,No Collision,Minor Damage,None,4,1,3,4320,480,480,3360,N
464,61,500/1000,1000,1125.37,0,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,2,79800,6650,19950,53200,Y
118,28,500/1000,2000,1207.36,0,FEMALE,High School,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,0,74200,7420,14840,51940,N
298,47,500/1000,2000,1338.5,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,0,70590,10860,10860,48870,Y
87,31,500/1000,1000,1074.07,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,3,60940,5540,11080,44320,Y
261,42,250/500,500,1337.56,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,2,74700,7470,14940,52290,N
453,60,100/300,500,1298.91,6000000,MALE,Doctorate,partner,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,0,70000,14000,7000,49000,Y
210,41,500/1000,500,1222.75,0,MALE,High School,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,12,3,0,81070,14740,14740,51590,N
168,32,100/300,1000,1059.52,0,MALE,Graduate,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,13,2,1,57720,14430,9620,33670,N
390,51,250/500,2000,1124.38,0,MALE,Undergraduate,other-relative,Vehicle Theft,No Collision,Minor Damage,None,9,1,1,7080,1180,1180,4720,N
258,46,100/300,1000,1110.37,10000000,MALE,Graduate,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,1,47700,4770,9540,33390,Y
107,31,500/1000,2000,1374.22,0,FEMALE,Doctorate,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,3,51260,9320,9320,32620,N
225,41,500/1000,2000,1103.58,0,MALE,High School,partner,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,2,70400,6400,12800,51200,Y
164,38,250/500,2000,1269.76,0,FEMALE,Doctorate,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,3,90000,18000,9000,63000,N
245,39,250/500,500,964.79,8000000,FEMALE,Undergraduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,1,72820,13240,6620,52960,N
255,41,500/1000,2000,1167.3,4000000,MALE,High School,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,0,69300,13860,13860,41580,N
206,36,500/1000,500,1625.45,4000000,FEMALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,1,76560,12760,12760,51040,Y
203,38,250/500,500,1394.43,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,1,55440,0,6160,49280,Y
22,25,250/500,2000,1053.24,0,FEMALE,Undergraduate,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,0,4,0,77130,8570,17140,51420,N
211,35,100/300,500,1040.75,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,1,42000,7000,7000,28000,N
206,39,250/500,1000,1302.4,6000000,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,3,36300,3300,9900,23100,N
166,38,100/300,2000,1588.55,0,MALE,Graduate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,8,1,0,40320,5760,5760,28800,N
165,32,500/1000,500,1399.26,0,FEMALE,High School,own-child,Parked Car,No Collision,Minor Damage,Police,9,1,0,3960,330,660,2970,N
274,43,100/300,2000,1352.31,0,MALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,3,63840,10640,10640,42560,Y
81,28,250/500,1000,1139,6000000,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,2,44730,4970,4970,34790,Y
280,45,250/500,1000,1397.67,0,MALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,2,84720,14120,14120,56480,N
194,39,250/500,500,823.17,0,MALE,Graduate,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Police,3,3,2,61500,6150,12300,43050,N
112,27,100/300,500,965.13,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,1,51000,8500,8500,34000,N
24,33,500/1000,1000,1922.84,0,FEMALE,High School,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,1,46800,4680,9360,32760,N
93,32,250/500,2000,1624.82,0,MALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,1,78120,17360,8680,52080,N
171,34,250/500,2000,1277.25,0,FEMALE,Undergraduate,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,2,69200,13840,6920,48440,Y
200,40,100/300,1000,1439.34,0,FEMALE,High School,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,9,1,0,3690,410,410,2870,N
120,28,250/500,1000,1281.27,0,FEMALE,Doctorate,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,3,65500,6550,6550,52400,N
325,46,500/1000,500,1348.83,0,FEMALE,High School,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,2,76120,13840,6920,55360,N
124,32,250/500,1000,1198.15,0,FEMALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,19,3,2,73560,12260,12260,49040,N
211,35,100/300,2000,1221.22,0,MALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,1,52030,9460,4730,37840,N
287,41,500/1000,2000,968.74,0,MALE,Graduate,partner,Vehicle Theft,No Collision,Trivial Damage,None,9,1,3,5170,470,940,3760,N
122,34,250/500,1000,1220.71,0,MALE,Doctorate,own-child,Parked Car,No Collision,Minor Damage,None,5,1,1,8190,1890,1260,5040,N
22,29,250/500,2000,1238.62,6000000,MALE,Graduate,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,3,70800,7080,14160,49560,Y
106,31,500/1000,2000,1320.75,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,3,45630,5070,5070,35490,N
398,58,100/300,500,990.98,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,1,99320,7640,15280,76400,Y
214,41,500/1000,500,1398.51,4000000,MALE,Graduate,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,0,64000,12800,6400,44800,Y
209,38,100/300,500,1355.08,0,FEMALE,Graduate,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,1,47300,4730,4730,37840,N
82,27,100/300,1000,1384.51,0,MALE,Doctorate,not-in-family,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,3,71680,8960,8960,53760,Y
193,41,250/500,500,847.03,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,0,112320,17280,17280,77760,Y
134,32,100/300,1000,1000.06,0,FEMALE,Doctorate,partner,Single Vehicle Collision,Side Collision,Total Loss,Police,17,1,0,82720,7520,15040,60160,N
288,45,100/300,1000,1046.71,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,1,48060,10680,5340,32040,N
104,32,250/500,500,1158.03,0,MALE,High School,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,3,63570,9780,9780,44010,Y
431,54,100/300,1000,1372.27,0,FEMALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,3,63240,10540,10540,42160,N
101,33,100/300,1000,1053.04,7000000,FEMALE,Graduate,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,3,54240,9040,9040,36160,Y
375,50,100/300,1000,1275.39,0,MALE,Undergraduate,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,3,37280,0,0,37280,Y
461,61,100/300,2000,1402.75,0,MALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,1,72100,7210,14420,50470,N
428,59,250/500,500,1344.36,7000000,FEMALE,Graduate,other-relative,Parked Car,No Collision,Minor Damage,None,8,1,3,6500,1300,650,4550,N
45,38,100/300,1000,1197.71,0,MALE,Graduate,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,0,78240,13040,13040,52160,N
136,29,100/300,500,1203.24,0,FEMALE,Graduate,other-relative,Vehicle Theft,No Collision,Minor Damage,Police,9,1,0,6200,1240,620,4340,N
216,36,500/1000,1000,1152.4,0,FEMALE,Undergraduate,partner,Parked Car,No Collision,Minor Damage,Police,0,1,3,6160,560,1680,3920,N
278,48,500/1000,2000,1142.62,7000000,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,0,76050,11700,11700,52650,N
295,48,500/1000,1000,1332.07,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,1,86060,13240,13240,59580,N
112,30,500/1000,1000,1166.54,0,FEMALE,Graduate,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,0,107900,10790,21580,75530,Y
122,34,250/500,500,1495.06,0,FEMALE,Graduate,partner,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,0,99990,18180,18180,63630,N
108,29,500/1000,1000,1337.92,0,FEMALE,Doctorate,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,2,61380,11160,5580,44640,N
14,28,250/500,2000,1587.96,0,FEMALE,Undergraduate,partner,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,1,71280,12960,12960,45360,Y
298,45,500/1000,1000,1362.29,0,MALE,High School,partner,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,0,64000,12800,6400,44800,N
276,46,250/500,500,1448.84,0,FEMALE,Graduate,partner,Parked Car,No Collision,Trivial Damage,Police,7,1,1,5940,660,660,4620,N
47,37,250/500,2000,1241.97,0,MALE,High School,not-in-family,Parked Car,No Collision,Minor Damage,None,18,1,0,6700,670,670,5360,N
222,42,250/500,500,1124.6,0,MALE,Undergraduate,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,51740,11940,7960,31840,N
